accommodation_type,address,category,city,description,detail_content,detail_url,district,email,images,item_id,list_snippet,listing_source_type,name,num_rooms,phone,price_range,source,source_category_code,star_rating,ward,website
Khách sạn,"84 Thach Lam, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14613,Sơn Trà,,[],14613,"Hana Homestay Danang Địa chỉ: 84 Thach Lam, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Hana Homestay Danang,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"Tổ 6, Khối An Bàng, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14869,Hội An,,[],14869,"Dịch vụ lưu trú Nơi trú ẩn Địa chỉ: Tổ 6, khối An Bàng, Thành phố Hội An, Quảng Nam",Tự đăng ký,Dịch Vụ Lưu Trú Nơi Trú Ẩn,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"22 Đào Cam Mộc, Hòa Cường, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14614,Hải Châu,,[],14614,"Homestay Xì Trum Địa chỉ: 22 đào cam mộc, Hòa Cường, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Homestay Xì Trum,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"Số 28, Đường Thanh Hóa, Hội An, Quảng Nam, Hội An Tây, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14870,Hội An,,[],14870,"Dịch vụ lưu trú Ánh Hào Quang Địa chỉ: Số 28, đường Thanh Hóa, Hội An, Quảng Nam, Hội An Tây, Thành phố Hội An, Quảng Nam",Tự đăng ký,Dịch Vụ Lưu Trú Ánh Hào Quang,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"205 NGUYỄN VĂN THOẠI, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14615,Sơn Trà,,[],14615,"KHÁCH SẠN DANANG CLASSIC Địa chỉ: 205 NGUYỄN VĂN THOẠI, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,KHÁCH SẠN DANANG CLASSIC,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"227/69B Nguyễn Văn Thoại, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8729,Ngũ Hành Sơn,,[],8729,"Nhậtlinh homestay Địa chỉ: 227/69B Nguyễn Văn Thoại, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Nhậtlinh Homestay,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"8 Lê Đình Lý, Quận Thanh Khê, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14361,Thanh Khê,,[],14361,"Khách sạn Hương Bình Địa chỉ: 8 Lê Đình Lý, Quận Thanh Khê, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Hương Bình,,,,csdl_vietnamtourism,cslt,5 sao,Thanh Khê,
Khách sạn,"Lô 30 B3.5, Phan Bá Vành, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14617,Sơn Trà,,[],14617,"King Villa Đà Nẵng Địa chỉ: Lô 30 B3.5, Phan Bá Vành, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,King Villa Đà Nẵng,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"116 Nguyễn Huy Chương, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=13850,Sơn Trà,,[],13850,"Sơn trà green hotel & apartment Địa chỉ: 116 nguyễn huy chương, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Sơn Trà Green Hotel & Apartment,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"44-46 Man Thiện, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14618,Hải Châu,,[],14618,"LA MAISON DES DÉLICES Địa chỉ: 44-46 Man Thiện, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,LA MAISON DES Délices,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"Bãi Nam, Bãi Con, Sơn Trà, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=13851,Sơn Trà,,[],13851,"Sơn Trà Resort Địa chỉ: Bãi Nam, Bãi Con, Sơn Trà, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Sơn Trà Resort,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"128 Phan Đăng Lưu, Hòa Cường, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14619,Hải Châu,,[],14619,"Nhà nghỉ Hương Giang Địa chỉ: 128 Phan Đăng Lưu, Hòa Cường, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Nhà Nghỉ Hương Giang,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"Thôn Miếu Bông, Xã Hòa Phước, Huyện Hòa Vang, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14620,Hòa Vang,,[],14620,"Nhà nghỉ Minh Anh Địa chỉ: Thôn Miếu Bông, xã Hòa phước , Huyện Hòa Vang, Thành phố Đà Nẵng",Tự đăng ký,Nhà Nghỉ Minh Anh,,,,csdl_vietnamtourism,cslt,5 sao,Xã Hòa Phước,
Khách sạn,"16 - 16 Phước Trường 15, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8733,Sơn Trà,,[],8733,"Peace Apartment Địa chỉ: 16 - 16 Phước Trường 15, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Peace Apartment,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"Lô H2-12-13 Phạm Văn Đồng, Quận Sơn Trà, Thành phố Đà Nẵng, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10781,Sơn Trà,,[],10781,"CÔNG TY CỔ PHẦN KHÁCH SẠN ROLIVA Địa chỉ: Lô H2-12-13 Phạm Văn Đồng, Quận Sơn Trà, TP Đà Nẵng, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,CÔNG TY CỔ PHẦN KHÁCH SẠN ROLIVA,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"141 Trần Hưng Đạo, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14621,Sơn Trà,,[],14621,"Nhà nghỉ Đào Tiên 2 Địa chỉ: 141 Trần Hưng Đạo, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Nhà Nghỉ Đào Tiên 2,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"20 An Thượng 3, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8734,Ngũ Hành Sơn,,[],8734,"Phamily residence Địa chỉ: 20 An Thượng 3, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Phamily Residence,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"410 Võ Nguyên Giáp, Đà Nẵng, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10782,Ngũ Hành Sơn,,[],10782,"Dreams Hotel Địa chỉ: 410 Võ Nguyên Giáp, Đà Nẵng, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Dreams Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"05 Nguyễn Cao Luyện, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=11550,Sơn Trà,,[],11550,"Minh Boutique Hotel Địa chỉ: 05 Nguyễn Cao Luyện, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Minh Boutique Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"56 Lê Văn Hưu, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14622,Ngũ Hành Sơn,,[],14622,"Nhà nghỉ Đào Tiên 3 Địa chỉ: 56 Lê Văn Hưu, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Nhà Nghỉ Đào Tiên 3,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"Trường Thi 2, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10783,Hải Châu,,[],10783,"Dreamy Sky Hotel Địa chỉ: Trường Thi 2, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Dreamy Sky Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"280 Kinh Dương Vương, Hòa Khánh, Quận Liên Chiểu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14623,Liên Chiểu,,[],14623,"Nhà nghỉ Đào Tiên 4 Địa chỉ: 280 Kinh Dương Vương, Hòa Khánh, Quận Liên Chiểu, Thành phố Đà Nẵng",Tự đăng ký,Nhà Nghỉ Đào Tiên 4,,,,csdl_vietnamtourism,cslt,5 sao,Liên Chiểu,
Khách sạn,"71 Trần Đình Đàn, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=9504,Sơn Trà,,[],9504,"khách sạn haka boutique Địa chỉ: 71 Trần Đình Đàn, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Haka Boutique,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"05 Đống Đa, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10784,Hải Châu,,[],10784,"Công ty cổ phần Khách Sạn Saigontourane Địa chỉ: 05 Đống Đa, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Công Ty Cổ Phần Khách Sạn Saigontourane,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"Lô A2.3 Hoàng Sa, Sơn Trà, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14112,Sơn Trà,,[],14112,"Khách sạn Dan Oasis Địa chỉ: lô A2.3 Hoàng Sa, Sơn Trà, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Dan Oasis,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"167 Tôn Đản, Quận Cẩm Lệ, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14624,Cẩm Lệ,,[],14624,"PQ Luxury Hotel Địa chỉ: 167 Tôn Đản, Quận Cẩm Lệ, Thành phố Đà Nẵng",Tự đăng ký,PQ Luxury Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Cẩm Lệ,
Khách sạn,"104 Hồ Nghinh, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8737,Sơn Trà,,[],8737,"Ponte Boutique Villa Địa chỉ: 104 Hồ Nghinh, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Ponte Boutique Villa,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"21 Phạm Văn Nghị, Quận Thanh Khê, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10530,Thanh Khê,,[],10530,"Khách sạn Hương Lan 2 Địa chỉ: 21 Phạm Văn Nghị, Quận Thanh Khê, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Hương Lan 2,,,,csdl_vietnamtourism,cslt,5 sao,Thanh Khê,
Khách sạn,"132-134-136 Bạch Đằng, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=12578,Hải Châu,,[],12578,"Khách sạn Sun River Địa chỉ: 132-134-136 Bạch Đằng, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Sun River,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"Lô 2-3 Trần Bạch Đằng, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14114,Ngũ Hành Sơn,,[],14114,"Khách sạn Delfino Hotel & Spa Địa chỉ: Lô 2-3 Trần Bạch Đằng, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Delfino Hotel & Spa,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"59 Nguyễn Tất Thành, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8739,Hội An,,[],8739,"QUỲNH NHÂN HOMESTAY Địa chỉ: 59 Nguyễn Tất Thành, Thành phố Hội An, Quảng Nam",Tự đăng ký,QUỲNH NHÂN HOMESTAY,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"To 5 Đường ĐX 18 Thôn Thanh Nhứt, Xã Cẩm Thanh, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10787,Hội An,,[],10787,"Biet Thu An Sen Địa chỉ: To 5 đường ĐX 18 thôn Thanh Nhứt , xã Cẩm Thanh, Thành phố Hội An, Quảng Nam",Tự đăng ký,Biet Thu An Sen,,,,csdl_vietnamtourism,cslt,5 sao,Xã Cẩm Thanh,
Khách sạn,"09 Đỗ Bá, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=11811,Ngũ Hành Sơn,,[],11811,"Khách Sạn Santa Luxury - 09 Đỗ Bá Địa chỉ: 09 Đỗ Bá, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Santa Luxury - 09 Đỗ Bá,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"170 Nguyễn Chí Thanh, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14627,Hải Châu,,[],14627,"Viễn Đông Hotel Địa chỉ: 170 Nguyễn chí thanh , Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Viễn Đông Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"34 An Thượng 3, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=13862,Ngũ Hành Sơn,,[],13862,"Sunflower Apartment Địa chỉ: 34 An Thượng 3, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Sunflower Apartment,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"59/14, 18 Tháng 8, Cẩm Phô, Hội An, Quảng Nam, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10793,Hội An,,[],10793,"Flamingo Villa Hoi An Địa chỉ: 59/14, 18 tháng 8, Cẩm Phô, Hội An, Quảng Nam, Thành phố Hội An, Quảng Nam",Tự đăng ký,Flamingo Villa Hoi An,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"73-75 Duong Dinh Nghe, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14382,Sơn Trà,,[],14382,"Prague hotel Địa chỉ: 73-75 Duong Dinh Nghe, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Prague Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
